OK: res://Assets/Kenney/Pirate Kit/barrel.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/barrel_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/boat-row-large.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/boat-row-large_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/boat-row-small.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/boat-row-small_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/bottle-large.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/bottle-large_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/bottle.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/bottle_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/cannon-ball.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/cannon-ball_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/cannon-mobile.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/cannon-mobile_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/cannon.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/cannon_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/castle-door.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/castle-door_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/castle-gate.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/castle-gate_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/castle-wall.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/castle-wall_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/castle-window.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/castle-window_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/chest.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/chest_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/crate-bottles.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/crate-bottles_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/crate.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/crate_colormap.tres
OK: res://Assets/Kenney/Pirate Kit/flag-high-pennant.glb  [surface 0: colormap]  -> res://Assets/Kenney/Pirate Kit/flag-high-pennant_colormap.tres
